Text,Sentiment
"John contributes a lot to this project, he is great",Positive
Jake helps us with everything we need,Positive
Jill works a lot on this project,Positive
John works very closely with me on this project,Positive
The team is very interactive,Positive
People interact very closely with one another,Positive
Kate keeps this team moving in the right direction,Positive
Joe is very good at keeping us motiviated and on the right track,Positive
Peter makes sure we dont get distracted,Positive
We produce very high quality prodcuts,Positive
We do some quality work,Positive
Mike does very good work,Positive
He knows his stuff,Positive
She knows the relevant material,Positive
She can do anything you ask her to,Positive
He does not attend any team meeting,Negative
Joe is a leader in the team,Positive
They do not contribute to the teamwork,Negative
They contribute to the teamwork,Positive
I like to share ideas,Positive
Keep up the positive attitude and dedication for this project as we move forward!,Positive
Xin Yu adds tremendously to the project so far because she is very organized and helps keep the group meetings on track and is good at delegating individual tasks to help meet deadline and push the project along. She helped divide up all the work in a way that was fair to everyone and keeps in contact almost daily regarding updates on the project and new things we need to get done. She is also very good at creating time for the group to meet and collaborate on things that require all of our attentions like the PDI and the engineering notebook.,Positive
Overall I've been really active in participating whenever my group is having discussions regarding the progress of our project. I contribute new ideas that could help us get a better grade and bring up possible early submission opportunities that will help our grades for the project. My understanding of all the project requirements for milestone one have helped us make sure that everything we need is included.,Positive
"Yasmin is really good at stopping during meetings to help any member who might be confused with their part of the project and breaking down points of confusion so we can continue working seamlessly together. she has a really good understanding of important components need for our submissions like Microsoft project and is willing to help other members who might not know it as well. She is also very good at using outside material to research and enhance our project. She reaches out to many different sources of information to make sure our project is always accurate. Overall, the group probably wouldn't have gotten as much done in the time frame that we have without her help.",Positive
Did a great job in brainstorming the company name and product name. Explained pretty well in the background information and project objective. Completed the full tasks.,Positive
"I did the 3D model for the design project and completed the slide of the Technical design description and the cost estimate in Milestone 1. I also went through the slides before submitting them, checking for any problems that might appear in the slide.",Positive
"Chelsea tends to do her work sometimes. I feel that sometimes communication can be a hassle because sometimes she takes a while to respond to things, which can be annoying at times. She also hasn't done much work in her role, which might be fine for now (as we are still figuring out the circuitry layout for the headphone and where to pit things at), but I feel like she could be more responsive and take on more work.",Negative
I am always willing to put in the time and effort. I finish all my parts on time and try to do as much as I can whenever I have spare time during the week.,Positive
